time v a w
512778302.22 V:4.983 A:0.398 W:1.985
512778302.42 V:4.984 A:0.399 W:1.985
512778302.62 V:4.983 A:0.401 W:1.996
512778302.82 V:4.983 A:0.401 W:1.996
512778303.02 V:4.983 A:0.399 W:1.989
512778303.22 V:4.981 A:0.399 W:1.989
512778303.42 V:4.983 A:0.399 W:1.989
512778303.62 V:4.983 A:0.399 W:1.989
512778303.82 V:4.981 A:0.398 W:1.985
512778304.02 V:4.981 A:0.399 W:1.989
512778304.22 V:4.981 A:0.400 W:1.992
512778304.42 V:4.981 A:0.400 W:1.992
512778304.62 V:4.984 A:0.399 W:1.989
512778304.82 V:4.983 A:0.399 W:1.989
512778305.02 V:4.983 A:0.399 W:1.989
512778305.22 V:4.981 A:0.398 W:1.985
512778305.42 V:4.984 A:0.400 W:1.992
512778305.62 V:4.983 A:0.399 W:1.989
512778305.82 V:4.983 A:0.399 W:1.989
512778306.02 V:4.981 A:0.399 W:1.989
512778306.22 V:4.986 A:0.427 W:2.134
512778306.42 V:4.984 A:0.403 W:2.011
512778306.62 V:4.984 A:0.403 W:2.011
512778306.82 V:4.983 A:0.401 W:2.000
512778307.02 V:4.984 A:0.401 W:1.996
512778307.22 V:4.984 A:0.401 W:1.996
512778307.42 V:4.984 A:0.401 W:1.996
512778307.62 V:4.983 A:0.400 W:1.992
512778307.82 V:4.984 A:0.401 W:2.000
512778308.02 V:4.983 A:0.402 W:2.008
512778308.22 V:4.983 A:0.402 W:2.008
512778308.42 V:4.981 A:0.400 W:1.992
512778308.62 V:4.984 A:0.401 W:1.996
512778308.82 V:4.984 A:0.401 W:1.996
512778309.02 V:4.983 A:0.400 W:1.992
512778309.22 V:4.981 A:0.399 W:1.989
512778309.42 V:4.983 A:0.398 W:1.985
512778309.62 V:4.983 A:0.398 W:1.985
512778309.82 V:4.984 A:0.399 W:1.989
512778310.02 V:4.981 A:0.399 W:1.985
512778310.22 V:4.983 A:0.400 W:1.996
512778310.42 V:4.983 A:0.400 W:1.996
512778310.62 V:4.983 A:0.399 W:1.989
512778310.82 V:4.984 A:0.398 W:1.985
512778311.02 V:4.983 A:0.399 W:1.992
512778311.22 V:4.983 A:0.399 W:1.992
512778311.42 V:4.983 A:0.399 W:1.989
512778311.62 V:4.985 A:0.412 W:2.057
512778311.82 V:4.985 A:0.412 W:2.057
512778312.02 V:4.984 A:0.399 W:1.992
512778312.22 V:4.983 A:0.400 W:1.992
512778312.42 V:4.984 A:0.399 W:1.992
512778312.62 V:4.984 A:0.399 W:1.992
512778312.82 V:4.983 A:0.399 W:1.989
512778313.02 V:4.983 A:0.399 W:1.989
512778313.22 V:4.983 A:0.400 W:1.989
512778313.42 V:4.983 A:0.400 W:1.989
512778313.62 V:4.983 A:0.399 W:1.989
512778313.82 V:4.983 A:0.401 W:1.996
512778314.02 V:4.981 A:0.400 W:1.992
512778314.22 V:4.981 A:0.400 W:1.992
512778314.42 V:4.983 A:0.400 W:1.996
512778314.62 V:4.985 A:0.425 W:2.118
512778314.82 V:4.985 A:0.425 W:2.118
512778315.02 V:4.986 A:0.441 W:2.199
512778315.22 V:4.985 A:0.432 W:2.157
512778315.42 V:4.985 A:0.431 W:2.149
512778315.62 V:4.985 A:0.431 W:2.149
512778315.82 V:4.986 A:0.433 W:2.160
512778316.02 V:4.987 A:0.433 W:2.164
512778316.22 V:4.986 A:0.434 W:2.168
512778316.42 V:4.986 A:0.434 W:2.168
512778316.62 V:4.986 A:0.426 W:2.126
512778316.82 V:4.985 A:0.422 W:2.107
512778317.02 V:4.990 A:0.458 W:2.286
512778317.22 V:4.990 A:0.458 W:2.286
512778317.42 V:4.986 A:0.440 W:2.195
512778317.62 V:4.985 A:0.428 W:2.134
512778317.82 V:4.983 A:0.401 W:2.000
512778318.02 V:4.983 A:0.401 W:2.000
512778318.22 V:4.981 A:0.403 W:2.011
512778318.42 V:4.983 A:0.400 W:1.992
512778318.62 V:4.983 A:0.400 W:1.992
512778318.82 V:4.984 A:0.400 W:1.996
512778319.02 V:4.981 A:0.400 W:1.996
512778319.22 V:4.985 A:0.421 W:2.099
512778319.42 V:4.985 A:0.421 W:2.099
512778319.62 V:4.984 A:0.421 W:2.099
512778319.82 V:4.981 A:0.400 W:1.992
512778320.02 V:4.981 A:0.399 W:1.989
512778320.22 V:4.981 A:0.399 W:1.989
512778320.42 V:4.981 A:0.399 W:1.989
512778320.62 V:4.983 A:0.399 W:1.989
512778320.82 V:4.981 A:0.399 W:1.989
512778321.02 V:4.981 A:0.399 W:1.989
512778321.22 V:4.985 A:0.415 W:2.073
512778321.42 V:4.981 A:0.400 W:1.992
512778321.62 V:4.981 A:0.400 W:1.992
512778321.82 V:4.983 A:0.400 W:1.992
512778322.02 V:4.984 A:0.399 W:1.989
512778322.22 V:4.981 A:0.400 W:1.996
512778322.42 V:4.981 A:0.400 W:1.996
512778322.62 V:4.981 A:0.399 W:1.989
512778322.82 V:4.984 A:0.410 W:2.046
512778323.02 V:4.983 A:0.400 W:1.992
512778323.22 V:4.983 A:0.400 W:1.992
512778323.42 V:4.981 A:0.398 W:1.985
512778323.62 V:4.983 A:0.399 W:1.989
512778323.82 V:4.981 A:0.399 W:1.989
512778324.02 V:4.981 A:0.399 W:1.989
512778324.22 V:4.983 A:0.399 W:1.989
512778324.42 V:4.983 A:0.409 W:2.038
512778324.62 V:4.983 A:0.409 W:2.038
512778324.82 V:4.984 A:0.424 W:2.115
512778325.02 V:4.981 A:0.399 W:1.989
512778325.22 V:4.981 A:0.399 W:1.992
512778325.42 V:4.981 A:0.399 W:1.992
512778325.62 V:4.981 A:0.398 W:1.981
512778325.82 V:4.981 A:0.398 W:1.985
512778326.02 V:4.985 A:0.416 W:2.076
512778326.22 V:4.985 A:0.416 W:2.076
512778326.42 V:4.983 A:0.401 W:1.996
512778326.62 V:4.983 A:0.400 W:1.996
512778326.82 V:4.984 A:0.399 W:1.989
512778327.02 V:4.984 A:0.399 W:1.989
512778327.22 V:4.983 A:0.399 W:1.989
512778327.42 V:4.981 A:0.399 W:1.989
512778327.62 V:4.985 A:0.411 W:2.050
512778327.82 V:4.985 A:0.411 W:2.050
512778328.02 V:4.983 A:0.398 W:1.985
512778328.22 V:4.983 A:0.400 W:1.992
512778328.42 V:4.983 A:0.400 W:1.992
512778328.62 V:4.983 A:0.400 W:1.992
512778328.82 V:4.981 A:0.399 W:1.985
512778329.02 V:4.983 A:0.400 W:1.992
512778329.22 V:4.983 A:0.400 W:1.992
512778329.42 V:4.983 A:0.408 W:2.034
512778329.62 V:4.983 A:0.402 W:2.004
512778329.82 V:4.981 A:0.397 W:1.981
512778330.02 V:4.981 A:0.397 W:1.981
512778330.22 V:4.983 A:0.398 W:1.989
512778330.42 V:4.983 A:0.398 W:1.989
512778330.62 V:4.983 A:0.403 W:2.008
512778330.82 V:4.983 A:0.403 W:2.008
512778331.02 V:4.984 A:0.406 W:2.023
512778331.22 V:4.981 A:0.399 W:1.989
512778331.42 V:4.981 A:0.399 W:1.989
512778331.62 V:4.981 A:0.400 W:1.992
512778331.82 V:4.984 A:0.399 W:1.989
512778332.02 V:4.983 A:0.399 W:1.989
512778332.22 V:4.983 A:0.399 W:1.989
512778332.42 V:4.984 A:0.404 W:2.011
512778332.62 V:4.984 A:0.404 W:2.015
512778332.82 V:4.983 A:0.399 W:1.992
512778333.02 V:4.983 A:0.399 W:1.992
512778333.22 V:4.984 A:0.406 W:2.023
512778333.42 V:4.983 A:0.399 W:1.989
512778333.62 V:4.983 A:0.400 W:1.992
512778333.82 V:4.983 A:0.400 W:1.992
512778334.02 V:4.984 A:0.407 W:2.027
512778334.22 V:4.984 A:0.408 W:2.034
512778334.42 V:4.983 A:0.401 W:2.000
512778334.62 V:4.983 A:0.401 W:2.000
512778334.82 V:4.983 A:0.401 W:2.000
512778335.02 V:4.983 A:0.399 W:1.989
512778335.22 V:4.983 A:0.399 W:1.989
512778335.42 V:4.983 A:0.400 W:1.992
512778335.62 V:4.983 A:0.411 W:2.050
512778335.82 V:4.984 A:0.400 W:1.992
512778336.02 V:4.984 A:0.400 W:1.992
512778336.22 V:4.984 A:0.399 W:1.992
512778336.42 V:4.983 A:0.399 W:1.989
512778336.62 V:4.984 A:0.398 W:1.985
512778336.82 V:4.984 A:0.398 W:1.985
512778337.02 V:4.983 A:0.398 W:1.981
512778337.22 V:4.985 A:0.410 W:2.042
512778337.42 V:4.984 A:0.400 W:1.992
512778337.62 V:4.984 A:0.400 W:1.992
512778337.82 V:4.983 A:0.399 W:1.989
512778338.02 V:4.984 A:0.398 W:1.985
512778338.22 V:4.984 A:0.398 W:1.985
512778338.42 V:4.983 A:0.398 W:1.985
512778338.62 V:4.983 A:0.399 W:1.989
512778338.82 V:4.983 A:0.408 W:2.034
512778339.02 V:4.983 A:0.408 W:2.034
512778339.22 V:4.983 A:0.399 W:1.989
512778339.42 V:4.983 A:0.399 W:1.992
512778339.62 V:4.981 A:0.398 W:1.981
512778339.82 V:4.981 A:0.398 W:1.981
512778340.02 V:4.983 A:0.399 W:1.989
512778340.22 V:4.983 A:0.399 W:1.989
512778340.42 V:4.984 A:0.410 W:2.046
512778340.62 V:4.984 A:0.410 W:2.046
512778340.82 V:4.983 A:0.399 W:1.989
512778341.02 V:4.981 A:0.398 W:1.985
512778341.22 V:4.981 A:0.398 W:1.985
512778341.42 V:4.983 A:0.399 W:1.989
512778341.62 V:4.981 A:0.398 W:1.985
512778341.82 V:4.983 A:0.398 W:1.985
512778342.02 V:4.983 A:0.398 W:1.985
512778342.22 V:4.984 A:0.408 W:2.038
512778342.42 V:4.983 A:0.399 W:1.985
512778342.62 V:4.983 A:0.398 W:1.985
512778342.82 V:4.983 A:0.398 W:1.985
512778343.02 V:4.981 A:0.398 W:1.985
512778343.22 V:4.983 A:0.398 W:1.985
512778343.42 V:4.983 A:0.398 W:1.981
512778343.62 V:4.983 A:0.398 W:1.981
512778343.82 V:4.984 A:0.408 W:2.034
512778344.02 V:4.983 A:0.399 W:1.989
512778344.22 V:4.983 A:0.399 W:1.992
512778344.42 V:4.983 A:0.399 W:1.992
512778344.62 V:4.981 A:0.399 W:1.989
512778344.82 V:4.981 A:0.398 W:1.985
512778345.02 V:4.981 A:0.398 W:1.985
512778345.22 V:4.981 A:0.399 W:1.989
512778345.42 V:4.983 A:0.408 W:2.034
512778345.62 V:4.983 A:0.399 W:1.992
512778345.82 V:4.983 A:0.399 W:1.992
512778346.02 V:4.981 A:0.398 W:1.985
512778346.22 V:4.981 A:0.399 W:1.985
512778346.42 V:4.981 A:0.398 W:1.985
512778346.62 V:4.981 A:0.398 W:1.985
512778346.82 V:4.985 A:0.400 W:1.992
512778347.02 V:4.983 A:0.407 W:2.031
512778347.22 V:4.983 A:0.400 W:1.992
512778347.42 V:4.983 A:0.400 W:1.992
512778347.62 V:4.983 A:0.398 W:1.985
512778347.82 V:4.981 A:0.399 W:1.992
512778348.02 V:4.981 A:0.399 W:1.992
512778348.22 V:4.983 A:0.400 W:1.996
512778348.42 V:4.984 A:0.403 W:2.011
512778348.62 V:4.983 A:0.406 W:2.023
512778348.82 V:4.983 A:0.406 W:2.023
512778349.02 V:4.983 A:0.398 W:1.985
512778349.22 V:4.983 A:0.399 W:1.989
512778349.42 V:4.983 A:0.398 W:1.985
512778349.62 V:4.983 A:0.398 W:1.985
512778349.82 V:4.981 A:0.398 W:1.985
512778350.02 V:4.983 A:0.405 W:2.015
512778350.22 V:4.983 A:0.408 W:2.034
512778350.42 V:4.983 A:0.408 W:2.034
512778350.62 V:4.981 A:0.398 W:1.985
512778350.82 V:4.981 A:0.398 W:1.985
512778351.02 V:4.981 A:0.398 W:1.985
512778351.22 V:4.981 A:0.398 W:1.985
512778351.42 V:4.983 A:0.398 W:1.985
512778351.62 V:4.984 A:0.408 W:2.034
512778351.82 V:4.984 A:0.408 W:2.034
512778352.02 V:4.983 A:0.401 W:1.996
512778352.22 V:4.983 A:0.399 W:1.989
512778352.42 V:4.984 A:0.399 W:1.989
512778352.62 V:4.984 A:0.399 W:1.989
512778352.82 V:4.981 A:0.398 W:1.985
512778353.02 V:4.981 A:0.399 W:1.985
512778353.22 V:4.985 A:0.410 W:2.042
512778353.42 V:4.985 A:0.410 W:2.042
512778353.62 V:4.983 A:0.400 W:1.992
512778353.82 V:4.983 A:0.399 W:1.989
512778354.02 V:4.984 A:0.399 W:1.989
512778354.22 V:4.984 A:0.399 W:1.989
512778354.42 V:4.983 A:0.399 W:1.989
512778354.62 V:4.983 A:0.400 W:1.992
512778354.82 V:4.983 A:0.400 W:1.992
512778355.02 V:4.983 A:0.410 W:2.042
512778355.22 V:4.983 A:0.407 W:2.027
512778355.42 V:4.983 A:0.399 W:1.989
512778355.62 V:4.983 A:0.399 W:1.989
512778355.82 V:4.983 A:0.399 W:1.989
512778356.02 V:4.983 A:0.399 W:1.989
512778356.22 V:4.981 A:0.399 W:1.989
512778356.42 V:4.981 A:0.399 W:1.989
512778356.62 V:4.984 A:0.410 W:2.046
512778356.82 V:4.983 A:0.399 W:1.992
512778357.02 V:4.981 A:0.399 W:1.989
512778357.22 V:4.981 A:0.399 W:1.989
512778357.42 V:4.984 A:0.400 W:1.992
512778357.62 V:4.983 A:0.400 W:1.992
512778357.82 V:4.983 A:0.400 W:1.992
512778358.02 V:4.984 A:0.398 W:1.985
512778358.22 V:4.985 A:0.410 W:2.046
512778358.42 V:4.983 A:0.400 W:1.996
512778358.62 V:4.983 A:0.400 W:1.996
512778358.82 V:4.983 A:0.400 W:1.992
512778359.02 V:4.984 A:0.399 W:1.989
512778359.22 V:4.983 A:0.399 W:1.989
512778359.42 V:4.983 A:0.399 W:1.989
512778359.62 V:4.983 A:0.398 W:1.985
512778359.82 V:4.984 A:0.409 W:2.038
512778360.02 V:4.983 A:0.399 W:1.989
512778360.22 V:4.983 A:0.399 W:1.989
512778360.42 V:4.981 A:0.403 W:2.011
512778360.62 V:4.983 A:0.399 W:1.989
512778360.82 V:4.983 A:0.399 W:1.989
512778361.02 V:4.983 A:0.399 W:1.989
512778361.22 V:4.981 A:0.398 W:1.985
512778361.42 V:4.984 A:0.409 W:2.038
512778361.62 V:4.984 A:0.409 W:2.038
512778361.82 V:4.983 A:0.398 W:1.985
512778362.02 V:4.981 A:0.398 W:1.985
512778362.22 V:4.983 A:0.398 W:1.985
512778362.42 V:4.983 A:0.398 W:1.985
512778362.62 V:4.981 A:0.399 W:1.989
512778362.82 V:4.983 A:0.399 W:1.992
512778363.02 V:4.984 A:0.409 W:2.038
512778363.22 V:4.984 A:0.409 W:2.038
512778363.42 V:4.984 A:0.399 W:1.989
512778363.62 V:4.983 A:0.399 W:1.989
512778363.82 V:4.983 A:0.399 W:1.989
512778364.02 V:4.983 A:0.399 W:1.989
512778364.22 V:4.983 A:0.399 W:1.989
512778364.42 V:4.981 A:0.401 W:2.000
512778364.62 V:4.981 A:0.401 W:2.000
512778364.82 V:4.984 A:0.407 W:2.027
512778365.02 V:4.983 A:0.398 W:1.985
512778365.22 V:4.981 A:0.398 W:1.985
512778365.42 V:4.981 A:0.398 W:1.985
512778365.62 V:4.986 A:0.399 W:1.989
512778365.82 V:4.983 A:0.399 W:1.989
512778366.02 V:4.983 A:0.403 W:2.011
512778366.22 V:4.983 A:0.403 W:2.011
512778366.42 V:4.984 A:0.414 W:2.065
512778366.62 V:4.984 A:0.423 W:2.107
512778366.82 V:4.981 A:0.401 W:1.996
512778367.02 V:4.981 A:0.401 W:1.996
512778367.22 V:4.983 A:0.401 W:2.000
512778367.42 V:4.983 A:0.401 W:2.000
512778367.62 V:4.983 A:0.401 W:2.000
512778367.82 V:4.984 A:0.408 W:2.038
512778368.02 V:4.984 A:0.405 W:2.019
512778368.22 V:4.984 A:0.402 W:2.004
512778368.42 V:4.984 A:0.402 W:2.004
512778368.62 V:4.981 A:0.400 W:1.992
512778368.82 V:4.983 A:0.399 W:1.992
512778369.02 V:4.983 A:0.399 W:1.992
512778369.22 V:4.983 A:0.399 W:1.992
512778369.42 V:4.983 A:0.408 W:2.034
512778369.62 V:4.985 A:0.401 W:2.000
512778369.82 V:4.983 A:0.398 W:1.985
512778370.02 V:4.983 A:0.398 W:1.985
