time watts usage_c0 usage_c1 usage_c2 usage_c3 usage_c4 usage_c5 usage_c6 usage_c7 temp4 temp5 temp6 temp7 temp_gpu freq_little_cluster freq_big_cluster freq_gpu freq_mem volts_little_cluster volts_big_cluster volts_gpu volts_mem
1505201419.13 5.729 0.0 0.0 0.0 0.0 0.2 1.0 0.0 0.0 70.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201419.23 5.729 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201419.33 5.729 0.166666666667 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201419.43 5.851 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201419.53 5.851 0.2 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201419.63 5.851 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 69.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201419.73 5.737 0.0 0.0 0.0 0.0 0.6 1.0 0.0 0.0 69.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201419.83 5.737 0.166666666667 0.0 0.0 0.0 0.2 1.0 0.0 0.0 70.0 83.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201419.93 5.798 0.166666666667 0.0 0.0 0.0 0.333333333333 1.0 0.0 0.0 70.0 84.0 73.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201420.03 5.798 0.166666666667 0.0 0.0 0.0 0.666666666667 1.0 0.5 0.0 71.0 83.0 75.0 68.0 64.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
