time v a w
512779450.32 V:4.991 A:0.482 W:2.408
512779450.52 V:4.991 A:0.482 W:2.405
512779450.72 V:4.991 A:0.481 W:2.405
512779450.92 V:4.991 A:0.481 W:2.401
512779451.12 V:4.991 A:0.481 W:2.401
512779451.32 V:4.991 A:0.481 W:2.401
512779451.52 V:4.994 A:0.505 W:2.523
512779451.72 V:4.991 A:0.484 W:2.420
512779451.92 V:4.991 A:0.484 W:2.420
512779452.12 V:4.991 A:0.483 W:2.408
512779452.32 V:4.991 A:0.483 W:2.412
512779452.52 V:4.992 A:0.483 W:2.408
512779452.72 V:4.992 A:0.483 W:2.408
512779452.92 V:4.991 A:0.483 W:2.412
512779453.12 V:4.991 A:0.483 W:2.416
512779453.32 V:4.992 A:0.483 W:2.408
512779453.52 V:4.992 A:0.483 W:2.408
512779453.72 V:4.991 A:0.483 W:2.412
512779453.92 V:4.991 A:0.490 W:2.450
512779454.12 V:4.991 A:0.490 W:2.450
512779454.32 V:4.991 A:0.482 W:2.408
512779454.52 V:4.991 A:0.481 W:2.401
512779454.72 V:4.991 A:0.481 W:2.401
512779454.92 V:4.991 A:0.481 W:2.401
512779455.12 V:4.991 A:0.481 W:2.401
512779455.32 V:4.991 A:0.482 W:2.405
512779455.52 V:4.991 A:0.482 W:2.405
512779455.72 V:4.991 A:0.482 W:2.405
512779455.92 V:4.991 A:0.481 W:2.401
512779456.12 V:4.990 A:0.481 W:2.401
512779456.32 V:4.991 A:0.483 W:2.408
512779456.52 V:4.991 A:0.483 W:2.408
512779456.72 V:4.992 A:0.482 W:2.408
512779456.92 V:4.991 A:0.482 W:2.408
512779457.12 V:4.991 A:0.482 W:2.408
512779457.32 V:4.991 A:0.482 W:2.408
512779457.52 V:4.992 A:0.482 W:2.408
512779457.72 V:4.991 A:0.482 W:2.408
512779457.92 V:4.991 A:0.482 W:2.408
512779458.12 V:4.991 A:0.484 W:2.416
512779458.32 V:4.992 A:0.483 W:2.412
512779458.52 V:4.992 A:0.481 W:2.405
512779458.72 V:4.992 A:0.481 W:2.405
512779458.92 V:4.991 A:0.481 W:2.401
512779459.12 V:4.992 A:0.481 W:2.401
512779459.32 V:4.992 A:0.481 W:2.401
512779459.52 V:4.992 A:0.481 W:2.401
512779459.72 V:4.991 A:0.481 W:2.405
512779459.93 V:4.992 A:0.482 W:2.405
512779460.15 V:4.991 A:0.481 W:2.401
512779460.38 V:4.991 A:0.482 W:2.408
512779460.6 V:4.991 A:0.482 W:2.408
512779460.83 V:4.991 A:0.481 W:2.405
512779461.06 V:4.991 A:0.481 W:2.401
512779461.23 V:4.991 A:0.481 W:2.401
512779461.34 V:4.991 A:0.481 W:2.405
512779461.52 V:4.992 A:0.481 W:2.401
512779461.72 V:4.992 A:0.481 W:2.401
512779461.92 V:4.990 A:0.481 W:2.401
512779462.12 V:4.991 A:0.481 W:2.401
512779462.32 V:4.992 A:0.483 W:2.412
512779462.52 V:4.992 A:0.483 W:2.412
512779462.72 V:4.991 A:0.482 W:2.405
512779462.92 V:4.991 A:0.482 W:2.408
512779463.12 V:4.994 A:0.488 W:2.439
512779463.32 V:4.994 A:0.488 W:2.439
512779463.52 V:4.992 A:0.485 W:2.424
512779463.72 V:4.992 A:0.484 W:2.416
512779463.92 V:4.992 A:0.484 W:2.416
512779464.12 V:4.992 A:0.485 W:2.424
512779464.32 V:4.992 A:0.487 W:2.431
512779464.52 V:4.992 A:0.490 W:2.450
512779464.72 V:4.992 A:0.490 W:2.450
512779464.92 V:4.995 A:0.490 W:2.447
512779465.12 V:4.992 A:0.490 W:2.447
512779465.32 V:4.992 A:0.493 W:2.466
512779465.52 V:4.992 A:0.493 W:2.466
512779465.72 V:4.992 A:0.490 W:2.447
512779465.92 V:4.992 A:0.490 W:2.450
512779466.12 V:4.991 A:0.491 W:2.454
512779466.32 V:4.991 A:0.491 W:2.454
512779466.52 V:4.994 A:0.490 W:2.450
512779466.72 V:4.994 A:0.502 W:2.512
512779466.92 V:4.994 A:0.502 W:2.512
512779467.12 V:4.994 A:0.510 W:2.550
512779467.32 V:4.992 A:0.491 W:2.450
512779467.52 V:4.991 A:0.486 W:2.428
512779467.72 V:4.991 A:0.486 W:2.428
512779467.92 V:4.991 A:0.486 W:2.424
512779468.12 V:4.992 A:0.496 W:2.477
512779468.32 V:4.991 A:0.484 W:2.416
512779468.52 V:4.991 A:0.484 W:2.416
512779468.72 V:4.992 A:0.482 W:2.408
512779468.92 V:4.991 A:0.482 W:2.408
512779469.12 V:4.991 A:0.483 W:2.412
512779469.32 V:4.991 A:0.483 W:2.412
512779469.52 V:4.991 A:0.482 W:2.408
512779469.72 V:4.991 A:0.482 W:2.408
512779469.92 V:4.991 A:0.482 W:2.408
512779470.12 V:4.991 A:0.482 W:2.408
512779470.32 V:4.991 A:0.483 W:2.408
512779470.52 V:4.991 A:0.481 W:2.405
512779470.72 V:4.991 A:0.481 W:2.405
512779470.92 V:4.991 A:0.481 W:2.401
512779471.12 V:4.991 A:0.481 W:2.405
512779471.32 V:4.991 A:0.481 W:2.401
512779471.52 V:4.991 A:0.481 W:2.401
512779471.72 V:4.990 A:0.481 W:2.401
512779471.92 V:4.990 A:0.481 W:2.401
512779472.12 V:4.991 A:0.481 W:2.401
512779472.32 V:4.991 A:0.481 W:2.401
512779472.52 V:4.991 A:0.481 W:2.401
512779472.72 V:4.991 A:0.481 W:2.401
512779472.92 V:4.991 A:0.482 W:2.408
512779473.12 V:4.991 A:0.482 W:2.408
512779473.32 V:4.991 A:0.481 W:2.401
512779473.52 V:4.990 A:0.481 W:2.405
512779473.72 V:4.990 A:0.481 W:2.405
512779473.92 V:4.991 A:0.481 W:2.401
512779474.12 V:4.994 A:0.481 W:2.401
512779474.32 V:4.991 A:0.482 W:2.405
512779474.52 V:4.991 A:0.482 W:2.405
512779474.72 V:4.991 A:0.481 W:2.405
512779474.92 V:4.991 A:0.481 W:2.401
512779475.12 V:4.991 A:0.481 W:2.401
512779475.32 V:4.991 A:0.481 W:2.401
512779475.52 V:4.991 A:0.481 W:2.401
512779475.72 V:4.991 A:0.481 W:2.401
512779475.92 V:4.994 A:0.481 W:2.405
512779476.12 V:4.994 A:0.481 W:2.405
512779476.32 V:4.991 A:0.481 W:2.401
512779476.52 V:4.990 A:0.481 W:2.401
512779476.72 V:4.990 A:0.481 W:2.401
512779476.92 V:4.990 A:0.481 W:2.405
512779477.12 V:4.991 A:0.481 W:2.405
512779477.32 V:4.991 A:0.481 W:2.401
512779477.52 V:4.991 A:0.481 W:2.401
512779477.72 V:4.990 A:0.481 W:2.401
512779477.92 V:4.991 A:0.481 W:2.401
512779478.12 V:4.992 A:0.481 W:2.401
512779478.32 V:4.992 A:0.481 W:2.401
512779478.52 V:4.991 A:0.482 W:2.405
512779478.72 V:4.991 A:0.481 W:2.405
512779478.92 V:4.991 A:0.481 W:2.401
512779479.12 V:4.991 A:0.481 W:2.401
512779479.32 V:4.991 A:0.481 W:2.401
512779479.52 V:4.991 A:0.481 W:2.401
512779479.72 V:4.992 A:0.481 W:2.401
512779479.92 V:4.992 A:0.481 W:2.401
512779480.12 V:4.992 A:0.481 W:2.401
512779480.32 V:4.991 A:0.481 W:2.401
512779480.52 V:4.991 A:0.481 W:2.401
512779480.72 V:4.992 A:0.482 W:2.408
512779480.92 V:4.991 A:0.484 W:2.412
512779481.12 V:4.991 A:0.482 W:2.408
512779481.32 V:4.991 A:0.482 W:2.408
512779481.52 V:4.991 A:0.482 W:2.408
512779481.72 V:4.991 A:0.482 W:2.408
512779481.92 V:4.992 A:0.482 W:2.408
512779482.12 V:4.992 A:0.482 W:2.408
512779482.32 V:4.991 A:0.483 W:2.412
512779482.52 V:4.991 A:0.483 W:2.412
512779482.72 V:4.994 A:0.481 W:2.405
512779482.92 V:4.994 A:0.481 W:2.405
512779483.12 V:4.991 A:0.482 W:2.408
512779483.32 V:4.991 A:0.482 W:2.408
512779483.52 V:4.991 A:0.482 W:2.408
512779483.72 V:4.991 A:0.482 W:2.408
512779483.92 V:4.992 A:0.482 W:2.408
512779484.12 V:4.991 A:0.482 W:2.408
512779484.32 V:4.991 A:0.482 W:2.408
512779484.52 V:4.992 A:0.482 W:2.408
512779484.72 V:4.992 A:0.482 W:2.408
512779484.92 V:4.992 A:0.482 W:2.408
512779485.12 V:4.992 A:0.482 W:2.408
512779485.32 V:4.992 A:0.482 W:2.405
512779485.52 V:4.995 A:0.481 W:2.405
