time v a w
512778977.22 V:4.991 A:0.476 W:2.374
512778977.42 V:4.991 A:0.476 W:2.378
512778977.62 V:4.992 A:0.486 W:2.424
512778977.82 V:4.992 A:0.478 W:2.389
512778978.02 V:4.991 A:0.478 W:2.389
512778978.22 V:4.990 A:0.476 W:2.374
512778978.42 V:4.991 A:0.476 W:2.378
512778978.62 V:4.991 A:0.476 W:2.378
512778978.82 V:4.991 A:0.476 W:2.374
512778979.02 V:4.990 A:0.477 W:2.378
512778979.22 V:4.992 A:0.476 W:2.374
512778979.42 V:4.992 A:0.476 W:2.374
512778979.62 V:4.991 A:0.475 W:2.374
512778979.82 V:4.990 A:0.476 W:2.374
512778980.02 V:4.991 A:0.476 W:2.374
512778980.22 V:4.991 A:0.476 W:2.374
512778980.42 V:4.991 A:0.476 W:2.378
512778980.62 V:4.991 A:0.476 W:2.378
512778980.82 V:4.990 A:0.476 W:2.374
512778981.02 V:4.990 A:0.476 W:2.374
512778981.22 V:4.990 A:0.476 W:2.374
512778981.42 V:4.991 A:0.477 W:2.382
512778981.62 V:4.991 A:0.477 W:2.382
512778981.82 V:4.991 A:0.475 W:2.374
512778982.02 V:4.991 A:0.475 W:2.374
512778982.22 V:4.991 A:0.476 W:2.378
512778982.42 V:4.991 A:0.476 W:2.378
512778982.62 V:4.991 A:0.476 W:2.378
512778982.82 V:4.991 A:0.476 W:2.378
512778983.02 V:4.990 A:0.476 W:2.378
512778983.22 V:4.990 A:0.476 W:2.378
512778983.42 V:4.991 A:0.476 W:2.378
512778983.62 V:4.991 A:0.476 W:2.378
512778983.82 V:4.992 A:0.475 W:2.374
512778984.02 V:4.992 A:0.475 W:2.374
512778984.22 V:4.991 A:0.478 W:2.386
512778984.42 V:4.991 A:0.476 W:2.378
512778984.62 V:4.991 A:0.476 W:2.378
512778984.82 V:4.990 A:0.476 W:2.374
512778985.02 V:4.990 A:0.476 W:2.378
512778985.22 V:4.990 A:0.476 W:2.374
512778985.42 V:4.990 A:0.476 W:2.374
512778985.62 V:4.990 A:0.477 W:2.382
512778985.82 V:4.990 A:0.477 W:2.382
512778986.02 V:4.990 A:0.476 W:2.374
512778986.22 V:4.990 A:0.476 W:2.374
512778986.42 V:4.990 A:0.475 W:2.374
512778986.62 V:4.990 A:0.476 W:2.374
512778986.82 V:4.991 A:0.476 W:2.374
512778987.02 V:4.991 A:0.476 W:2.374
512778987.22 V:4.990 A:0.475 W:2.374
512778987.42 V:4.991 A:0.476 W:2.374
512778987.62 V:4.991 A:0.476 W:2.374
512778987.82 V:4.991 A:0.476 W:2.374
512778988.02 V:4.990 A:0.475 W:2.374
512778988.22 V:4.991 A:0.476 W:2.374
512778988.42 V:4.991 A:0.476 W:2.374
512778988.62 V:4.991 A:0.476 W:2.374
512778988.82 V:4.990 A:0.476 W:2.374
512778989.02 V:4.990 A:0.476 W:2.378
512778989.22 V:4.990 A:0.476 W:2.378
512778989.42 V:4.990 A:0.475 W:2.374
512778989.62 V:4.991 A:0.484 W:2.416
512778989.82 V:4.990 A:0.477 W:2.382
512778990.02 V:4.990 A:0.477 W:2.382
