time,temp4,temp5,temp6,temp7,big_dyn,big_tot,little_dyn,little_tot,4_tot,5_tot,6_tot,7_tot
1513655957.34,53.0,56.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.0011730185075465858,0.07347567658908893,0.01933634167534361,0.01933634167534361,0.01933634167534361,0.01933634167534361
1513655957.55,53.0,56.0,57.0,55.0,0.033778967172715633,0.11112433391121385,0.0017799273242040813,0.07408258540574643,0.02778108347780346,0.02778108347780346,0.02778108347780346,0.02778108347780346
1513655957.75,53.0,56.0,57.0,55.0,0.0721382674085873,0.1494836341470855,0.0012134674217569807,0.07351612550329933,0.06900531268749932,0.04180563809033707,0.01933634168462455,0.01933634168462455
1513655957.95,53.0,57.0,57.0,55.0,0.019136140872322144,0.09648150761082035,0.001540911012972018,0.07429052568303232,0.027268638262902937,0.02970288800650461,0.020173639656788252,0.01933634168462455
1513655958.15,53.0,56.0,57.0,55.0,0.0030060907219176874,0.08035145746041589,0.0004044891375022066,0.07270714721904456,0.0209021433835086,0.02028079350300364,0.0198321788892791,0.01933634168462455
1513655958.35,53.0,56.0,57.0,55.0,0.03507105881500358,0.11241642555350179,0.0018664284653615551,0.0741690865469039,0.05440740049962813,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655958.55,54.0,56.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.0007887538225585959,0.0735383684926189,0.019336341647500782,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655958.75,53.0,56.0,57.0,55.0,-3.71237683490951e-11,0.07734536670137444,0.0007887538225585959,0.07309141190410094,0.01933634167534361,0.01933634167534361,0.01933634167534361,0.01933634167534361
1513655958.95,53.0,56.0,57.0,54.0,0.006012181480681379,0.08335754821917958,0.0021051021828037983,0.07396306272596898,0.020839387054794895,0.020839387054794895,0.020839387054794895,0.020839387054794895
1513655959.15,53.0,56.0,57.0,54.0,0.04471955538178311,0.12206492212028132,0.0011730185074766497,0.07303097905064183,0.06405589706640766,0.01933634168462455,0.01933634168462455,0.01933634168462455
1513655959.35,53.0,56.0,57.0,55.0,0.028036217009771023,0.10538158374826923,0.0026898527902911354,0.07499251087183348,0.02975135242590085,0.033188305970592476,0.023105583667151347,0.01933634168462455
1513655959.55,53.0,56.0,57.0,55.0,0.03174962324171639,0.1090949899802146,0.002325812562485195,0.07462847064402754,0.0403625822419835,0.03005972436898199,0.01933634168462455,0.01933634168462455
